Sample ID,Depth (m),SS mean
MD02-2588-0.5,0.5,25.6328
MD02-2588-1.5,1.5,19.5626
MD02-2588-2.5,2.5,20.8332
MD02-2588-3.5,3.5,22.1044
MD02-2588-4.5,4.5,22.4412
MD02-2588-5.5,5.5,20.0788
MD02-2588-6.5,6.5,20.3589
MD02-2588-7.5,7.5,23.055
MD02-2588-8.5,8.5,20.4137
MD02-2588-9.5,9.5,22.0288
MD02-2588-10.5,10.5,22.0815
MD02-2588-11.5,11.5,21.4741
MD02-2588-12.5,12.5,22.3851
MD02-2588-13.5,13.5,20.7909
MD02-2588-14.5,14.5,
MD02-2588-15.5,15.5,19.4527
MD02-2588-16.5,16.5,21.6616
MD02-2588-17.5,17.5,22.2085
MD02-2588-18.5,18.5,21.9885
MD02-2588-19.5,19.5,23.6958
MD02-2588-20.5,20.5,21.827
MD02-2588-21.5,21.5,22.3642
MD02-2588-22.5,22.5,22.5034
MD02-2588-23.5,23.5,19.6765
MD02-2588-24.5,24.5,22.1812
MD02-2588-25.5,25.5,21.8273
MD02-2588-26.5,26.5,21.4198
MD02-2588-27.5,27.5,22.4617
MD02-2588-28.5,28.5,23.0654
MD02-2588-29.5,29.5,21.3819
MD02-2588-30.5,30.5,21.0313
MD02-2588-31.5,31.5,21.3379
MD02-2588-32.5,32.5,23.6858
MD02-2588-33.5,33.5,20.6217
MD02-2588-34.5,34.5,22.7912
MD02-2588-35.5,35.5,21.9842
MD02-2588-36.5,36.5,21.5093
MD02-2588-37.5,37.5,19.0499
MD02-2588-38.5,38.5,19.0928
MD02-2588-39.5,39.5,19.7236
MD02-2588-40.5,40.5,20.769
MD02-2588-41.5,41.5,20.2792
MD02-2588-42.5,42.5,22.9508
MD02-2588-43.5,43.5,22.6159
MD02-2588-44.5,44.5,22.225
MD02-2588-45.5,45.5,19.9937
MD02-2588-46.5,46.5,22.3066
MD02-2588-47.5,47.5,21.4979
MD02-2588-48.5,48.5,25.739
MD02-2588-49.5,49.5,22.963
MD02-2588-50.5,50.5,24.0439
MD02-2588-51.5,51.5,21.9993
MD02-2588-52.5,52.5,23.8861
MD02-2588-53.5,53.5,22.5766
MD02-2588-54.5,54.5,24.8564
MD02-2588-55.5,55.5,19.3449
MD02-2588-56.5,56.5,23.7004
MD02-2588-57.5,57.5,20.1525
MD02-2588-58.5,58.5,19.6434
MD02-2588-59.5,59.5,19.2364
MD02-2588-60.5,60.5,24.8125
MD02-2588-61.5,61.5,25.762
MD02-2588-62.5,62.5,23.8308
MD02-2588-63.5,63.5,22.2902
MD02-2588-64.5,64.5,21.8696
MD02-2588-65.5,65.5,23.9284
MD02-2588-66.5,66.5,22.3333
MD02-2588-67.5,67.5,23.4977
MD02-2588-68.5,68.5,24.7325
MD02-2588-69.5,69.5,27.3683
MD02-2588-70.5,70.5,
MD02-2588-71.5,71.5,20.3398
MD02-2588-72.5,72.5,21.6242
MD02-2588-73.5,73.5,26.1867
MD02-2588-74.5,74.5,24.7477
MD02-2588-75.5,75.5,19.3234
MD02-2588-76.5,76.5,26.2275
MD02-2588-77.5,77.5,27.4945
MD02-2588-78.5,78.5,22.9312
MD02-2588-79.5,79.5,28.0964
MD02-2588-80.5,80.5,22.2835
MD02-2588-81.5,81.5,26.1398
MD02-2588-82.5,82.5,28.2438
MD02-2588-83.5,83.5,25.6583
MD02-2588-84.5,84.5,23.9918
MD02-2588-85.5,85.5,29.2671
MD02-2588-86.5,86.5,22.8383
MD02-2588-87.5,87.5,22.5603
MD02-2588-88.5,88.5,22.1346
MD02-2588-89.5,89.5,25.7631
MD02-2588-90.5,90.5,26.2417
MD02-2588-91.5,91.5,25.2293
MD02-2588-92.5,92.5,28.5451
MD02-2588-93.5,93.5,21.0059
MD02-2588-94.5,94.5,26.7512
MD02-2588-95.5,95.5,23.3905
MD02-2588-96.5,96.5,25.9304
MD02-2588-97.5,97.5,22.3949
MD02-2588-98.5,98.5,27.5855
MD02-2588-99.5,99.5,25.2644
MD02-2588-100.5,100.5,21.1289
MD02-2588-101.5,101.5,24.9228
MD02-2588-102.5,102.5,25.5782
MD02-2588-103.5,103.5,26.8807
MD02-2588-104.5,104.5,23.3142
MD02-2588-105.5,105.5,19.747
MD02-2588-106.5,106.5,21.8989
MD02-2588-107.5,107.5,20.8152
MD02-2588-108.5,108.5,23.2751
MD02-2588-109.5,109.5,22.9044
MD02-2588-110.5,110.5,23.992
MD02-2588-111.5,111.5,23.65
MD02-2588-112.5,112.5,26.6888
MD02-2588-113.5,113.5,24.0692
MD02-2588-114.5,114.5,22.879
MD02-2588-115.5,115.5,23.3092
MD02-2588-116.5,116.5,26.0021
MD02-2588-117.5,117.5,25.7791
MD02-2588-118.5,118.5,22.7583
MD02-2588-119.5,119.5,21.5983
MD02-2588-120.5,120.5,23.6057
MD02-2588-121.5,121.5,25.5068
MD02-2588-122.5,122.5,25.8325
MD02-2588-123.5,123.5,24.854
MD02-2588-124.5,124.5,25.0871
MD02-2588-125.5,125.5,26.8182
MD02-2588-126.5,126.5,26.7345
MD02-2588-127.5,127.5,22.3889
MD02-2588-128.5,128.5,24.1355
MD02-2588-129.5,129.5,21.311
MD02-2588-130.5,130.5,20.8672
MD02-2588-131.5,131.5,24.2122
MD02-2588-132.5,132.5,25.9585
MD02-2588-133.5,133.5,24.7499
MD02-2588-134.5,134.5,26.7552
MD02-2588-135.5,135.5,24.0441
MD02-2588-136.5,136.5,20.8661
