Sample ID,Mid depth CCSF-361-U1475-BCDEF-20160305 (m),SS mean,SS Std
"361-U1475C-1H-6, 70-72",8.362,22.72,0.113137085
"361-U1475C-1H-6, 74-76",8.402,23.02,0.098994949
"361-U1475C-1H-6, 79-81",8.442,23.16,0.141421356
"361-U1475C-1H-6, 83-85",8.482,24.29333333,0.229419557
"361-U1475C-1H-6, 87-89",8.522,23.53,0.014142136
"361-U1475C-1H-6, 90-92",8.562,23.25,0.098994949
"361-U1475C-1H-6, 94-96",8.602,22.255,0.148492424
"361-U1475C-1H-6, 98-100",8.642,22.51,0.042426407
"361-U1475C-1H-6, 102-104",8.682,22.84,0.070710678
"361-U1475C-1H-6, 106-108",8.722,22.505,0.134350288
"361-U1475C-1H-6, 110-112",8.762,21.97,0.141421356
"361-U1475C-1H-6, 114-116",8.802,21.56,0.337786915
"361-U1475C-1H-6, 118-120",8.842,21.47333333,0.183393929
"361-U1475C-1H-6, 122-124",8.882,20.6,0.278747197
"361-U1475C-1H-6, 126-128",8.922,21.03333333,0.185831465
"361-U1475C-1H-6, 130-132",8.962,20.505,0.134350288
"361-U1475E-2H-2, 45-47",8.998,20.81,0.028284271
"361-U1475E-2H-2, 49-51",9.038,20.205,0.106066017
"361-U1475E-2H-2, 53-55",9.078,20.495,0.021213203
"361-U1475E-2H-2, 57-59",9.118,20.51,0.070710678
"361-U1475E-2H-2, 61-63",9.158,21.81,0.098994949
"361-U1475E-2H-2, 65-67",9.198,22.23,0.028284271
"361-U1475E-2H-2, 69-71",9.238,21.29,0.141421356
"361-U1475E-2H-2, 73-75",9.278,22.52,0.070710678
"361-U1475E-2H-2, 77-79",9.318,25.295,0.318198052
"361-U1475E-2H-2, 81-83",9.358,25.7,0.028284271
"361-U1475E-2H-2, 85-87",9.398,26.795,0.007071068
"361-U1475E-2H-2, 89-91",9.438,25.02,0.268700577
"361-U1475E-2H-2, 93-95",9.478,24.45,0.141421356
"361-U1475E-2H-2, 97-99",9.518,24.305,0.148492424
"361-U1475E-2H-2, 101-103",9.558,23.645,0.035355339
"361-U1475E-2H-2, 105-107",9.598,23.12333333,0.188237439
"361-U1475E-2H-2, 109-111",9.638,23.42,0.155563492
"361-U1475E-2H-2, 113-115",9.678,23.09,0.183847763
"361-U1475E-2H-2, 117-119",9.718,22.295,0.219203102
"361-U1475E-2H-2, 121-123",9.758,21.82,0.141421356
"361-U1475E-2H-2, 125-127",9.798,22.895,0.035355339
"361-U1475E-2H-2, 129-131",9.838,22.30666667,0.22898326
"361-U1475E-2H-2, 133-135",9.878,23.3,0.014142136
"361-U1475E-2H-2, 137-139",9.918,23.605,0.205060967
"361-U1475E-2H-2, 141-143",9.958,23.235,0.049497475
"361-U1475E-2H-2, 145-147",9.998,23.7,0.056568542
"361-U1475E-2H-3, 0-2",10.048,23.46,0.113137085
"361-U1475E-2H-3, 4-6",10.088,21.23,0.375099987
"361-U1475E-2H-3, 8-10",10.128,24.905,0.06363961
"361-U1475E-2H-3, 12-14",10.168,23.58,0.141421356
"361-U1475E-2H-3, 16-18",10.208,24.23,0.245560583
"361-U1475E-2H-3, 20-22",10.248,23.895,0.077781746
"361-U1475E-2H-3, 24-26",10.288,22.975,0.148492424
"361-U1475E-2H-3, 28-30",10.328,21.865,0.106066017
"361-U1475E-2H-3, 32-34",10.368,22.75666667,0.205507502
"361-U1475E-2H-3, 36-38",10.408,24.675,0.091923882
"361-U1475E-2H-3, 40-42",10.448,22.385,0.134350288
"361-U1475E-2H-3, 44-46",10.488,22.155,0.120208153
"361-U1475E-2H-3, 48-50",10.528,22.83,0.281602557
"361-U1475E-2H-3, 52-54",10.568,23.055,0.148492424
"361-U1475E-2H-3, 56-58",10.608,21.96,0.014142136
"361-U1475E-2H-3, 60-62",10.648,21.41333333,0.175023808
"361-U1475E-2H-3, 64-66",10.688,22.53,0.084852814
"361-U1475E-2H-3, 68-70",10.728,23.105,0.049497475
"361-U1475E-2H-3, 72-74",10.768,24.845,0.077781746
"361-U1475E-2H-3, 76-78",10.808,24.95,0.056568542
"361-U1475E-2H-3, 80-82",10.848,23.765,0.091923882
"361-U1475E-2H-3, 84-86",10.888,23.425,0.049497475
"361-U1475E-2H-3, 88-90",10.928,23.485,0.049497475
"361-U1475E-2H-3, 92-94",10.968,24.005,0.06363961
"361-U1475E-2H-3, 96-98",11.008,24.055,0.148492424
"361-U1475E-2H-3, 100-102",11.048,22.435,0.021213203
"361-U1475E-2H-3, 104-106",11.088,22.67,0.084852814
"361-U1475E-2H-3, 108-110",11.128,23.6,0.127279221
"361-U1475E-2H-3, 112-114",11.168,23.23,0.261533937
"361-U1475E-2H-3, 116-118",11.208,24.28,0
"361-U1475E-2H-3, 120-122",11.248,23.15,0.078102497
"361-U1475E-2H-3, 124-126",11.288,22.455,0.049497475
"361-U1475E-2H-3, 128-130",11.328,22.9,0
"361-U1475E-2H-3, 132-134",11.368,22.395,0.049497475
"361-U1475E-2H-3, 136-138",11.408,21.615,0.106066017
"361-U1475E-2H-3, 140-142",11.448,21.16333333,0.205507502
"361-U1475E-2H-3, 144-146",11.488,20.435,0.106066017
"361-U1475E-2H-3, 148-150",11.528,22.125,0.106066017
"361-U1475E-2H-4, 2-4",11.568,20.635,0.007071068
"361-U1475E-2H-4, 6-8",11.608,20.835,0.021213203
"361-U1475E-2H-4, 10-12",11.648,21.48,0.23430749
"361-U1475E-2H-4, 14-16",11.688,19.615,0.091923882
"361-U1475E-2H-4, 18-20",11.728,19.85,0.028284271
"361-U1475E-2H-4, 22-24",11.768,20.645,0.035355339
"361-U1475E-2H-4, 26-28",11.808,20.46,0.141421356
"361-U1475E-2H-4, 30-32",11.848,20.816,0.204909736
"361-U1475E-2H-4, 34-36",11.888,20.67,0.169705627
"361-U1475E-2H-4, 38-40",11.928,20.315,0.007071068
"361-U1475E-2H-4, 42-44",11.968,20.635,0.077781746
"361-U1475E-2H-4, 46-48",12.008,20.195,0.120208153
"361-U1475E-2H-4, 50-52",12.048,20.895,0.091923882
"361-U1475E-2H-4, 54-56",12.088,21.575,0.035355339
"361-U1475E-2H-4, 58-60",12.128,21.92,0.070710678
"361-U1475E-2H-4, 62-64",12.168,21.29,0.084852814
"361-U1475E-2H-4, 66-68",12.208,23.66,0.113137085
"361-U1475E-2H-4, 70-72",12.248,20.955,0.077781746
"361-U1475E-2H-4, 74-76",12.288,20.04,0.070710678
"361-U1475E-2H-4, 78-80",12.328,20.93333333,0.135769412
"361-U1475E-2H-4, 82-84",12.368,21.24,0.258650343
"361-U1475E-2H-4, 86-88",12.408,19.9,0.141421356
"361-U1475E-2H-4, 90-92",12.448,20.005,0.077781746
"361-U1475E-2H-4, 94-96",12.488,21.12,0.056568542
"361-U1475E-2H-4, 98-100",12.528,21.14,0.098994949
"361-U1475E-2H-4, 102-104",12.568,20.53,0.285131549
"361-U1475E-2H-4, 106-108",12.608,20.31,0.028284271
"361-U1475E-2H-4, 110-112",12.648,20.055,0.021213203
"361-U1475E-2H-4, 114-116",12.688,20.42,0.070710678
"361-U1475E-2H-4, 118-120",12.728,21.83,0.251197134
"361-U1475E-2H-4, 122-124",12.768,20.78,0
"361-U1475E-2H-4, 126-128",12.808,20.21,0.181934054
"361-U1475E-2H-4, 130-132",12.848,19.595,0.049497475
"361-U1475E-2H-4, 134-136",12.888,20.805,0.06363961
"361-U1475E-2H-4, 138-140",12.928,20.175,0.077781746
"361-U1475E-2H-4, 142-144",12.968,20.565,0.035355339
"361-U1475E-2H-4, 146-148",13.008,21.345,0.06363961
"361-U1475E-2H-5, 0-2",13.048,21.27,0.141421356
"361-U1475E-2H-5, 4-6",13.088,20.79,0.084852814
"361-U1475E-2H-5, 8-10",13.128,20.295,0.120208153
"361-U1475E-2H-5, 12-14",13.168,20.41,0.165227116
"361-U1475E-2H-5, 16-18",13.208,20.745,0.134350288
"361-U1475C-2H-3, 58-60",13.253,20.88,0.042426407
"361-U1475C-2H-3, 62-64",13.293,19.965,0.176776695
"361-U1475C-2H-3, 66-68",13.333,20.475,0.120208153
"361-U1475C-2H-3, 70-72",13.373,19.49,0.113137085
"361-U1475C-2H-3, 74-76",13.413,19.96,0.028284271
"361-U1475C-2H-3, 78-80",13.453,20.515,0.120208153
"361-U1475C-2H-3, 82-84",13.493,19.615,0.035355339
"361-U1475C-2H-3, 86-88",13.533,19.765,0.148492424
"361-U1475C-2H-3, 90-92",13.573,20.2,0.197989899
"361-U1475C-2H-3, 94-96",13.613,20.645,0.049497475
"361-U1475C-2H-3, 98-100",13.653,21.25666667,0.345880519
"361-U1475C-2H-3, 102-104",13.693,23.65,0
"361-U1475C-2H-3, 106-108",13.733,23.16,0.127279221
"361-U1475C-2H-3, 110-112",13.773,24.64333333,0.16563011
"361-U1475C-2H-3, 114-116",13.813,24.185,0.148492424
"361-U1475C-2H-3, 118-120",13.853,24.74,0.283548938
"361-U1475C-2H-3, 122-124",13.893,25.37,0.014142136
"361-U1475C-2H-3, 126-128",13.933,25.48,0.169705627
"361-U1475C-2H-3, 130-132",13.973,25.655,0.134350288
"361-U1475C-2H-3, 134-136",14.013,25.83666667,0.246644143
"361-U1475C-2H-3, 138-140",14.053,25.505,0.06363961
"361-U1475C-2H-3, 142-144",14.093,25.565,0.106066017
"361-U1475C-2H-3, 146-148",14.133,24.23,0.113137085
"361-U1475C-2H-4, 0-2",14.173,27.73,0.070710678
"361-U1475C-2H-4, 4-6",14.213,25.29,0.127279221
"361-U1475C-2H-4, 8-10",14.253,22.605,0.007071068
"361-U1475C-2H-4, 12-14",14.293,24.655,0.049497475
"361-U1475C-2H-4, 16-18",14.333,23.34,0.014142136
"361-U1475C-2H-4, 20-22",14.373,23.785,0.06363961
"361-U1475C-2H-4, 24-26",14.413,22.595,0.134350288
"361-U1475C-2H-4, 28-30",14.453,25.08333333,0.234591844
"361-U1475C-2H-4, 32-34",14.493,24.85,0.127279221
"361-U1475C-2H-4, 36-38",14.533,24.12,0.141421356
"361-U1475C-2H-4, 40-42",14.573,23.69,0.155563492
"361-U1475C-2H-4, 44-46",14.613,24.31,0.169705627
"361-U1475C-2H-4, 48-50",14.653,24.84,0.070710678
"361-U1475C-2H-4, 52-54",14.693,24.825,0.120208153
