,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
0,MD02-2588-0.5,0.005,0.005,3.043314499,0.581639881,,1.483576764,0.8081921,,1.082251082,1.578979437,25.6328,
1,MD02-2588-1.5,0.015,0.015,3.627831528,0.249624164,,1.415419481,0.925743982,,0.867208672,1.268917367,19.5626,
2,MD02-2588-2.5,0.025,0.025,2.931055864,0.674841183,,1.373112652,0.913915447,,0,0,20.8332,
3,MD02-2588-3.5,0.035,0.035,,,,1.208283101,1.017633729,,0,0,22.1044,
4,MD02-2588-4.5,0.045,0.045,2.705486689,0.801193066,,1.781087992,0.765966105,,0,0,22.4412,
5,MD02-2588-5.5,0.055,0.055,3.17592736,0.547384544,,1.385507034,0.978310746,,0,0,20.0788,
6,MD02-2588-6.5,0.065,0.065,2.813748037,0.672457759,,1.651988579,0.931460716,,0,0,20.3589,
7,MD02-2588-7.5,0.075,0.075,2.964609382,0.71980074,,1.539572185,1.015176959,,0,0,23.055,
8,MD02-2588-8.5,0.085,0.085,2.741751565,0.850282972,,1.290638394,1.06864026,,0,0,20.4137,
9,MD02-2588-9.5,0.095,0.095,2.748621303,0.738539196,,1.679631954,0.913632257,,0,0,22.0288,
10,MD02-2588-10.5,0.105,0.105,2.720082304,0.73401204,,1.533267556,0.819063908,,0,0,22.0815,
11,MD02-2588-11.5,0.115,0.115,2.999124241,0.731289837,,1.823862478,0.675079721,,0,0,21.4741,
12,MD02-2588-12.5,0.125,0.125,2.854068914,0.821895242,,1.393435067,1.013618706,,0,0,22.3851,
13,MD02-2588-13.5,0.135,0.135,2.804094504,0.522856054,,1.232076488,0.699019149,,0,0,20.7909,
14,MD02-2588-14.5,0.145,0.145,3.044287189,0.54152107,,1.850535911,0.878072232,,0,0,,
15,MD02-2588-15.5,0.155,0.155,3.019162009,0.698738986,,1.809022351,0.802398174,,0,0,19.4527,
16,MD02-2588-16.5,0.165,0.165,2.983929205,0.720643413,,1.655088745,0.875937977,,0,0,21.6616,
17,MD02-2588-17.5,0.175,0.175,3.010664564,0.696390845,,1.770711553,0.749023474,,0,0,22.2085,
18,MD02-2588-18.5,0.185,0.185,3.068369179,0.537063582,,1.920866005,0.748248424,,,,21.9885,
19,MD02-2588-19.5,0.195,0.195,3.003288985,0.552634683,,1.933281877,0.59595102,,,,23.6958,
20,MD02-2588-20.5,0.205,0.205,2.753002769,0.620600987,,1.807280176,0.712692987,,,,21.827,
21,MD02-2588-21.5,0.215,0.215,3.181661828,0.53378177,,2.483557204,0.865184153,,,,22.3642,
22,MD02-2588-22.5,0.225,0.225,3.142028765,0.375683991,,2.078472516,0.6222726,,,,22.5034,
23,MD02-2588-23.5,0.235,0.235,3.14931154,0.449533205,,1.714018879,0.705995178,,,,19.6765,
24,MD02-2588-24.5,0.245,0.245,3.240211816,0.583783641,,2.181502318,0.662120948,,,,22.1812,
25,MD02-2588-25.5,0.255,0.255,3.247527105,0.408990886,,2.318533408,0.435752035,,0,0,21.8273,
26,MD02-2588-26.5,0.265,0.265,3.373467387,0.421675341,,2.031951179,0.608937564,,,,21.4198,
27,MD02-2588-27.5,0.275,0.275,3.318315237,0.486300799,,2.03253313,0.476765418,,,,22.4617,
28,MD02-2588-28.5,0.285,0.285,,,,2.112939416,0.454381426,,,,23.0654,
29,MD02-2588-29.5,0.295,0.295,3.552437329,0.445673373,,2.241356691,0.415136764,,,,21.3819,
30,MD02-2588-30.5,0.305,0.305,3.567550469,0.272469216,,2.381606979,0.523471411,,0,0,21.0313,
