,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std,LR04_age,SS_unitv,SS_dHolocene,SS_offset,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
0,MD02-2588-0.5,0.005,0.005,3.043314499,0.581639881,,1.483576764,0.8081921,,1.082251082,1.578979437,25.6328,,0.26916666666666667,1.919531868014788,4.1198866666666625,25.6328,5.191057199999995,0.7415795999999988,19.15076123271075,5.397051533333328
1,MD02-2588-1.5,0.015,0.015,3.627831528,0.249624164,,1.415419481,0.925743982,,0.867208672,1.268917367,19.5626,,0.8075,-1.0854520834375303,-1.9503133333333373,19.5626,-2.457394800000005,-0.3510564000000005,-9.065779716182886,-2.554910466666672
2,MD02-2588-2.5,0.025,0.025,2.931055864,0.674841183,,1.373112652,0.913915447,,0.0,0.0,20.8332,,1.3458333333333334,-0.4564559039516286,-0.6797133333333356,20.8332,-0.8564388000000028,-0.12234840000000047,-3.1595596691227725,-0.8904244666666696
3,MD02-2588-3.5,0.035,0.035,,,,1.208283101,1.017633729,,0.0,0.0,22.1044,,1.884166666666667,0.17283729875770176,0.5914866666666612,22.1044,0.7452731999999931,0.106467599999999,2.749449400468592,0.7748475333333261
4,MD02-2588-4.5,0.045,0.045,2.705486689,0.801193066,,1.781087992,0.765966105,,0.0,0.0,22.4412,,2.4225,0.339566334843686,0.9282866666666614,22.4412,1.1696411999999934,0.1670915999999989,4.315020714690097,1.2160555333333265
5,MD02-2588-5.5,0.055,0.055,3.17592736,0.547384544,,1.385507034,0.978310746,,0.0,0.0,20.0788,,2.9608333333333334,-0.8299131035456503,-1.434113333333336,20.0788,-1.8069828000000034,-0.2581404000000005,-6.666290665110611,-1.8786884666666703
6,MD02-2588-6.5,0.065,0.065,2.813748037,0.672457759,,1.651988579,0.931460716,,0.0,0.0,20.3589,,3.41,-0.6912527620739053,-1.1540133333333387,20.3589,-1.4540568000000067,-0.20772240000000086,-5.364281980094461,-1.5117574666666738
7,MD02-2588-7.5,0.075,0.075,2.964609382,0.71980074,,1.539572185,1.015176959,,0.0,0.0,23.055,,3.77,0.6434210924136897,1.5420866666666626,23.055,1.943029199999995,0.27757559999999915,7.168190764182857,2.020133533333328
8,MD02-2588-8.5,0.085,0.085,2.741751565,0.850282972,,1.290638394,1.06864026,,0.0,0.0,20.4137,,4.130000000000001,-0.6641246410005325,-1.0992133333333385,20.4137,-1.3850088000000065,-0.19785840000000077,-5.109551255571483,-1.4399694666666736
9,MD02-2588-9.5,0.095,0.095,2.748621303,0.738539196,,1.679631954,0.913632257,,0.0,0.0,22.0288,,4.49,0.13541237260538572,0.5158866666666633,22.0288,0.6500171999999957,0.09285959999999938,2.398032561528145,0.6758115333333289
10,MD02-2588-10.5,0.105,0.105,2.720082304,0.73401204,,1.533267556,0.819063908,,0.0,0.0,22.0815,,4.85,0.1615009123967486,0.5685866666666612,22.0815,0.7164191999999932,0.10234559999999904,2.643001707191655,0.7448485333333262
11,MD02-2588-11.5,0.115,0.115,2.999124241,0.731289837,,1.823862478,0.675079721,,0.0,0.0,21.4741,,5.23,-0.13918559745665546,-0.03881333333333714,21.4741,-0.0489048000000048,-0.006986400000000684,-0.18041876863417447,-0.050845466666671654
12,MD02-2588-12.5,0.125,0.125,2.854068914,0.821895242,,1.393435067,1.013618706,,0.0,0.0,22.3851,,5.63,0.31179466345288065,0.8721866666666642,22.3851,1.098955199999997,0.15699359999999962,4.054247108016042,1.14256453333333
13,MD02-2588-13.5,0.135,0.135,2.804094504,0.522856054,,1.232076488,0.699019149,,0.0,0.0,20.7909,,6.03,-0.4773960412035208,-0.7220133333333365,20.7909,-0.909736800000004,-0.12996240000000048,-3.3561857575775558,-0.9458374666666709
14,MD02-2588-14.5,0.145,0.145,3.044287189,0.54152107,,1.850535911,0.878072232,,0.0,0.0,,,6.43,,,,,,,
15,MD02-2588-15.5,0.155,0.155,3.019162009,0.698738986,,1.809022351,0.802398174,,0.0,0.0,19.4527,,6.83,-1.1398568371959912,-2.060213333333337,19.4527,-2.5958688000000048,-0.37083840000000023,-9.576635676494474,-2.698879466666672
