,Depth [cm],Corrected Depth [cm],Age [kyr],Mean Sortable Silt [um],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
0,1,1,11.61038282,18.72,-1.396923076923077,-1.760123076923077,-0.25144615384615365,-6.944019577852554,-1.8299692307692308
1,2,2,11.61951429,20.48,0.36307692307692463,0.45747692307692506,0.06535384615384637,1.8048332823493503,0.4756307692307713
2,3,3,11.62864575,20.02,-0.09692307692307622,-0.12212307692307604,-0.01744615384615371,-0.48179871520342266,-0.12696923076922986
3,4,4,11.63777722,20.0,-0.1169230769230758,-0.1473230769230755,-0.02104615384615363,-0.5812174977057148,-0.1531692307692293
4,5,5,11.64690868,21.27,1.1530769230769238,1.452876923076924,0.2075538461538462,5.731875191189971,1.5105307692307701
5,6,6,11.65604015,20.67,0.5530769230769259,0.6968769230769266,0.09955384615384666,2.749311716121152,0.724530769230773
6,7,7,11.66517161,20.86,0.7430769230769236,0.9362769230769238,0.13375384615384622,3.6937901498929366,0.97343076923077
7,8,8,11.67430308,17.8,-2.316923076923075,-2.9193230769230745,-0.4170461538461536,-11.517283572958084,-3.0351692307692284
8,9,9,11.68343455,20.87,0.7530769230769252,0.9488769230769257,0.13555384615384647,3.7434995411440917,0.9865307692307721
9,10,10,11.69256601,20.33,0.2130769230769225,0.26847692307692234,0.03835384615384607,1.0591924135821325,0.27913076923076846
10,11,11,11.70661148,20.62,0.5030769230769252,0.6338769230769258,0.09055384615384643,2.500764759865413,0.6590307692307721
11,12,12,11.72065694,19.96,-0.15692307692307494,-0.19772307692307442,-0.028246153846153504,-0.7800550627102992,-0.20556923076922817
12,13,13,11.73470241,21.14,1.0230769230769248,1.2890769230769252,0.18415384615384633,5.085653104925062,1.3402307692307716
13,14,14,11.74874787,20.84,0.7230769230769241,0.9110769230769243,0.13015384615384618,3.594371367390645,0.9472307692307705
14,15,15,11.76279334,20.42,0.3030769230769259,0.38187692307692667,0.05455384615384662,1.5065769348424736,0.39703076923077296
15,16,16,11.7768388,19.83,-0.2869230769230775,-0.36152307692307767,-0.0516461538461539,-1.4262771489752248,-0.37586923076923157
16,17,17,11.79088427,21.56,1.443076923076923,1.818276923076923,0.259753846153846,7.173447537473233,1.8904307692307691
17,18,18,11.80492973,20.62,0.5030769230769252,0.6338769230769258,0.09055384615384643,2.500764759865413,0.6590307692307721
18,19,19,11.8189752,19.29,-0.8269230769230766,-1.0419230769230765,-0.14884615384615385,-4.110584276537166,-1.0832692307692304
19,20,20,11.83302066,19.71,-0.40692307692307494,-0.5127230769230744,-0.07324615384615352,-2.0227898439889773,-0.5330692307692282
20,21,21,11.85920413,19.46,-0.6569230769230749,-0.8277230769230745,-0.11824615384615345,-3.2655246252676564,-0.8605692307692282
21,22,22,11.88538759,20.16,0.043076923076924345,0.05427692307692467,0.007753846153846382,0.21413276231264014,0.056430769230770894
22,23,23,11.91157106,20.33,0.2130769230769225,0.26847692307692234,0.03835384615384607,1.0591924135821325,0.27913076923076846
23,24,24,11.93775452,20.01,-0.10692307692307423,-0.13472307692307353,-0.019246153846153358,-0.5315081064545599,-0.14006923076922725
24,25,25,11.96393799,19.58,-0.5369230769230775,-0.6765230769230777,-0.09664615384615394,-2.6690119302539035,-0.7033692307692315
25,26,26,11.99012146,18.49,-1.6269230769230774,-2.0499230769230774,-0.292846153846154,-8.087335576628941,-2.1312692307692314
26,27,27,12.01630492,21.27,1.1530769230769238,1.452876923076924,0.2075538461538462,5.731875191189971,1.5105307692307701
27,28,28,12.04248839,20.27,0.15307692307692378,0.19287692307692397,0.027553846153846262,0.760936066075256,0.20053076923077015
28,29,29,12.06867185,21.61,1.4930769230769236,1.8812769230769237,0.2687538461538461,7.421994493728973,1.9559307692307701
29,30,30,12.09485532,19.58,-0.5369230769230775,-0.6765230769230777,-0.09664615384615394,-2.6690119302539035,-0.7033692307692315
30,31,31,12.12103878,20.43,0.3130769230769239,0.3944769230769241,0.05635384615384631,1.5562863260936108,0.41013076923077035
31,32,32,12.14722225,20.91,0.7930769230769243,0.9992769230769247,0.14275384615384623,3.942337106148676,1.038930769230771
32,33,33,12.17340571,21.64,1.5230769230769248,1.9190769230769251,0.27415384615384664,7.571122667482419,1.9952307692307716
33,34,34,12.19958918,21.29,1.1730769230769234,1.4780769230769235,0.21115384615384603,5.831293973692262,1.5367307692307697
34,35,35,12.22577264,20.83,0.7130769230769225,0.8984769230769224,0.12835384615384593,3.5446619761394897,0.9341307692307685
35,36,36,12.25195611,21.37,1.2530769230769252,1.5788769230769257,0.22555384615384644,6.2289691037014485,1.6415307692307721
36,37,37,12.27813957,21.4,1.2830769230769228,1.6166769230769227,0.23095384615384607,6.378097277454878,1.680830769230769
37,38,38,12.30432304,21.05,0.9330769230769249,1.1756769230769255,0.16795384615384634,4.638268583664739,1.2223307692307717
38,39,39,12.3305065,21.35,1.2330769230769256,1.5536769230769263,0.2219538461538466,6.129550321199156,1.6153307692307726
39,40,40,12.35668997,20.46,0.34307692307692506,0.43227692307692556,0.06175384615384649,1.7054144998470582,0.44943076923077185
40,41,41,12.50360547,,,,,,
41,42,42,12.65052097,20.84,0.7230769230769241,0.9110769230769243,0.13015384615384618,3.594371367390645,0.9472307692307705
42,43,43,12.79743647,21.3,1.183076923076925,1.4906769230769255,0.21295384615384627,5.8810033649434175,1.5498307692307718
43,44,44,12.94435198,20.96,0.8430769230769251,1.0622769230769256,0.15175384615384657,4.1908840624044155,1.1044307692307718
44,45,45,13.09126748,21.48,1.3630769230769246,1.7174769230769251,0.24535384615384626,6.775772407464064,1.7856307692307714
45,46,46,13.23818298,20.99,0.8730769230769226,1.1000769230769225,0.15715384615384598,4.340012236157845,1.1437307692307688
46,47,47,13.38509848,21.5,1.3830769230769242,1.7426769230769246,0.2489538461538463,6.8751911899663565,1.8118307692307707
47,48,48,13.53201398,20.89,0.7730769230769248,0.9740769230769252,0.13915384615384652,3.8429183236463835,1.0127307692307714
48,49,49,13.67892948,19.32,-0.7969230769230755,-1.0041230769230751,-0.14344615384615356,-3.961456102783719,-1.043969230769229
49,50,50,13.82584498,20.86,0.7430769230769236,0.9362769230769238,0.13375384615384622,3.6937901498929366,0.97343076923077
50,51,51,13.97276049,18.82,-1.2969230769230755,-1.6341230769230752,-0.23344615384615341,-6.446925665341078,-1.698969230769229
51,52,52,14.11967599,19.53,-0.5869230769230747,-0.7395230769230741,-0.10564615384615339,-2.917558886509625,-0.7688692307692279
52,53,53,14.26659149,20.97,0.8530769230769231,1.074876923076923,0.15355384615384615,4.240593453655552,1.1175307692307692
53,54,54,14.41350699,20.99,0.8730769230769226,1.1000769230769225,0.15715384615384598,4.340012236157845,1.1437307692307688
54,55,55,14.56042249,20.99,0.8730769230769226,1.1000769230769225,0.15715384615384598,4.340012236157845,1.1437307692307688
55,56,56,14.70733799,21.13,1.0130769230769232,1.2764769230769233,0.1823538461538461,5.035943713673908,1.3271307692307694
56,57,57,14.8542535,20.48,0.36307692307692463,0.45747692307692506,0.06535384615384637,1.8048332823493503,0.4756307692307713
57,58,58,15.001169,20.17,0.05307692307692591,0.06687692307692665,0.009553846153846648,0.2638421535637951,0.06953076923077295
58,59,59,15.1480845,19.96,-0.15692307692307494,-0.19772307692307442,-0.028246153846153504,-0.7800550627102992,-0.20556923076922817
59,60,60,15.295,21.0,0.8830769230769242,1.1126769230769245,0.15895384615384645,4.389721627408999,1.1568307692307707
60,61,61,15.38206667,21.19,1.0730769230769255,1.352076923076926,0.19315384615384668,5.334200061180802,1.4057307692307723
