,Depth comp [mcd],Age [ka BP],SS [µm] (Plus fine sand (mean)),63-10 µm sort silt [%] (Plus fine sand (mean)),SS [µm],63-10 µm sort silt [%],SS_dHolocene,SSFS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_ssfs_dhol_mccave,dU_ssfs_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_wu_SSFS,pct_dU_dhol_wu_SSFS,dU_dhol_culp
0,0.0,0.0,51.8,90.07,37.0,83.89,2.6668571428571397,4.584000000000003,3.62692571428571,0.5067028571428565,6.234240000000005,0.8709600000000002,2.0268114285714263,7.767588169698573,3.4838400000000025,9.708573364961039,3.7602685714285666
1,0.02,0.04,46.74,83.82,33.68,76.49,-0.6531428571428606,-0.475999999999992,-0.8882742857142905,-0.12409714285714357,-0.6473599999999892,-0.09043999999999841,-0.49638857142857407,-1.9023683903932993,-0.3617599999999939,-1.0081328363266522,-0.9209314285714334
2,0.03,0.06,48.21,87.67,35.0,81.51,0.6668571428571397,0.9940000000000069,0.9069257142857101,0.12670285714285656,1.3518400000000095,0.18886000000000114,0.5068114285714261,1.9423131334986508,0.7554400000000052,2.105218569976294,0.9402685714285669
3,0.04,0.08,43.77,80.57,32.89,73.76,-1.4431428571428597,-3.445999999999991,-1.9626742857142894,-0.27419714285714347,-4.686559999999988,-0.6547399999999985,-1.0967885714285734,-4.203352029692266,-2.6189599999999933,-7.298373432734649,-2.034831428571432
4,0.05,0.1,44.89,81.46,32.97,74.24,-1.3631428571428614,-2.3259999999999934,-1.8538742857142916,-0.2589971428571438,-3.163359999999991,-0.4419399999999989,-1.0359885714285746,-3.970341028244274,-1.7677599999999951,-4.92629617078955,-1.9220314285714346
5,0.08,0.16,51.47,88.26,35.64,80.8,1.3068571428571403,4.254000000000005,1.7773257142857108,0.2483028571428565,5.7854400000000075,0.8082600000000006,0.9932114285714266,3.8064011450826283,3.233040000000004,9.009657743137932,1.8426685714285678
6,0.09,0.18,49.94,89.09,35.93,83.01,1.5968571428571394,2.7240000000000038,2.1717257142857096,0.3034028571428564,3.7046400000000053,0.5175600000000009,1.213611428571426,4.651066025331614,2.0702400000000027,5.769230769230778,2.2515685714285665
7,0.1,0.2,46.99,84.18,34.32,77.16,-0.01314285714286001,-0.22599999999999199,-0.017874285714289614,-0.002497142857143402,-0.30735999999998914,-0.042939999999998424,-0.009988571428573607,-0.03828037880932213,-0.17175999999999392,-0.4786513046424772,-0.018531428571432612
8,0.11,0.22,47.57,87.55,34.55,81.5,0.21685714285713686,0.3540000000000063,0.29492571428570613,0.04120285714285604,0.48144000000000864,0.06726000000000121,0.16481142857142403,0.6316262503536599,0.2690400000000048,0.749745848864805,0.30576857142856295
9,0.12,0.24,46.43,84.51,34.17,77.84,-0.1631428571428586,-0.7859999999999943,-0.2218742857142877,-0.030997142857143112,-1.0689599999999924,-0.1493399999999987,-0.12398857142857253,-0.47517600652431224,-0.5973599999999957,-1.6646899356150338,-0.2300314285714306
10,0.13,0.26,48.87,87.76,35.52,81.49,1.1868571428571428,1.6540000000000035,1.6141257142857144,0.225502857142857,2.2494400000000048,0.31426000000000087,0.9020114285714286,3.4568846429106403,1.2570400000000026,3.503049813622509,1.6734685714285713
11,0.14,0.28,46.99,85.95,34.69,79.66,0.35685714285713743,-0.22599999999999199,0.4853257142857069,0.06780285714285617,-0.30735999999998914,-0.042939999999998424,0.27121142857142444,1.039395502887656,-0.17175999999999392,-0.4786513046424772,0.5031685714285637
12,0.15,0.3,48.58,87.22,34.82,80.6,0.48685714285714,1.3640000000000043,0.6621257142857104,0.09250285714285655,1.855040000000006,0.25916000000000095,0.3700114285714264,1.4180383802406584,1.0366400000000033,2.888851236868868,0.6864685714285673
13,0.16,0.32,48.22,87.36,35.27,81.15,0.9368571428571428,1.0040000000000049,1.2741257142857143,0.17800285714285713,1.3654400000000066,0.19076000000000093,0.7120114285714285,2.728725263385649,0.7630400000000037,2.126397831243657,1.3209685714285713
14,0.18,0.36,49.57,87.73,35.47,81.08,1.1368571428571386,2.3540000000000063,1.5461257142857086,0.21600285714285627,3.2014400000000087,0.4472600000000013,0.8640114285714253,3.3112527670056298,1.7890400000000048,4.985598102338205,1.6029685714285653
15,0.19,0.38,49.72,87.57,35.04,80.59,0.7068571428571389,2.504000000000005,0.9613257142857089,0.13430285714285628,3.4054400000000067,0.47576000000000107,0.5372114285714256,2.058818634222647,1.9030400000000038,5.303287021348707,0.9966685714285657
16,0.2,0.4,46.78,86.58,34.99,80.74,0.6568571428571417,-0.43599999999999284,0.8933257142857127,0.124802857142857,-0.5929599999999903,-0.08283999999999869,0.4992114285714277,1.913186758317657,-0.33135999999999455,-0.923415791257186,0.9261685714285698
17,0.2,0.4,46.82,84.66,34.17,77.86,-0.1631428571428586,-0.3959999999999937,-0.2218742857142877,-0.030997142857143112,-0.5385599999999915,-0.07523999999999875,-0.12398857142857253,-0.47517600652431224,-0.30095999999999523,-0.8386987461877198,-0.2300314285714306
18,0.21,0.42,52.11,89.09,35.96,81.92,1.6268571428571406,4.8940000000000055,2.2125257142857113,0.30910285714285646,6.6558400000000075,0.9298600000000015,1.236411428571427,4.738445150874617,3.719440000000004,10.36513046424942,2.2938685714285683
19,0.22,0.44,47.06,86.83,35.25,81.07,0.9168571428571397,-0.1559999999999917,1.2469257142857102,0.17420285714285644,-0.21215999999998872,-0.029639999999998418,0.6968114285714262,2.6704725130236415,-0.1185599999999937,-0.3303964757709076,1.2927685714285668
20,0.23,0.46,49.7,88.07,35.84,81.61,1.5068571428571431,2.484000000000009,2.0493257142857146,0.2863028571428572,3.3782400000000123,0.4719600000000015,1.1452114285714288,4.388928648702628,1.8878400000000068,5.260928498813981,2.124668571428572
21,0.24,0.48,49.04,87.21,35.3,80.54,0.9668571428571369,1.8240000000000052,1.3149257142857063,0.18370285714285584,2.4806400000000073,0.34656000000000065,0.734811428571424,2.8161043889286312,1.386240000000004,3.8630972551677516,1.3632685714285628
22,0.25,0.5,47.64,86.65,35.04,80.42,0.7068571428571389,0.4240000000000066,0.9613257142857089,0.13430285714285628,0.576640000000009,0.08056000000000119,0.5372114285714256,2.058818634222647,0.322240000000005,0.8980006777363747,0.9966685714285657
23,0.27,0.54,48.92,87.45,35.47,81.02,1.1368571428571386,1.7040000000000077,1.5461257142857086,0.21600285714285627,2.3174400000000106,0.3237600000000014,0.8640114285714253,3.3112527670056298,1.295040000000006,3.608946119959353,1.6029685714285653
24,0.28,0.57,47.05,83.96,34.33,76.78,-0.003142857142861999,-0.16599999999999682,-0.004274285714292319,-0.0005971428571437797,-0.2257599999999957,-0.0315399999999994,-0.0023885714285751193,-0.009154003628328309,-0.12615999999999758,-0.35157573703828543,-0.004431428571435418
25,0.29,0.59,46.01,86.09,34.04,80.11,-0.29314285714286115,-1.205999999999996,-0.3986742857142912,-0.05569714285714361,-1.6401599999999947,-0.229139999999999,-0.22278857142857447,-0.8538188838773146,-0.9165599999999969,-2.5542189088444514,-0.4133314285714342
26,0.3,0.61,45.17,86.64,33.8,81.19,-0.5331428571428631,-2.0459999999999923,-0.7250742857142939,-0.10129714285714397,-2.7825599999999895,-0.38873999999999853,-0.405188571428576,-1.5528518882213114,-1.5549599999999941,-4.3332768553032714,-0.7517314285714369
27,0.32,0.65,49.42,88.27,35.7,81.99,1.3668571428571425,2.2040000000000077,1.858925714285714,0.2597028571428568,2.9974400000000108,0.41876000000000113,1.0388114285714283,3.981159396168632,1.6750400000000059,4.667909183327702,1.9272685714285709
28,0.33,0.67,49.44,88.01,35.46,81.53,1.1268571428571406,2.2240000000000038,1.5325257142857112,0.2141028571428567,3.024640000000005,0.4225600000000007,0.8564114285714268,3.2821263918246357,1.6902400000000029,4.710267705862428,1.5888685714285682
29,0.34,0.69,51.17,89.67,36.64,83.48,2.3068571428571403,3.9540000000000077,3.137325714285711,0.43830285714285644,5.377440000000011,0.7512600000000011,1.7532114285714266,6.71903866318259,3.005040000000006,8.374279905116927,3.2526685714285675
30,0.35,0.71,48.63,86.66,35.27,79.98,0.9368571428571428,1.4140000000000086,1.2741257142857143,0.17800285714285713,1.9230400000000119,0.26866000000000145,0.7120114285714285,2.728725263385649,1.0746400000000065,2.9947475432057113,1.3209685714285713
31,0.36,0.73,46.68,85.36,34.5,78.96,0.1668571428571397,-0.5359999999999943,0.22692571428571,0.03170285714285653,-0.7289599999999923,-0.10183999999999882,0.1268114285714262,0.48599437444867016,-0.4073599999999956,-1.1352084039308588,0.23526857142856697
32,0.37,0.75,47.44,85.45,34.43,78.66,0.09685714285713942,0.22400000000000375,0.13172571428570962,0.0184028571428565,0.30464000000000513,0.04256000000000071,0.07361142857142597,0.282109748181672,0.17024000000000286,0.47441545238902877,0.13656857142856657
33,0.38,0.77,51.47,88.86,36.02,81.9,1.6868571428571428,4.254000000000005,2.2941257142857143,0.320502857142857,5.7854400000000075,0.8082600000000006,1.2820114285714286,4.913203401960621,3.233040000000004,9.009657743137932,2.3784685714285714
34,0.39,0.79,46.97,85.94,34.48,79.66,0.14685714285713658,-0.2459999999999951,0.19972571428570576,0.027902857142855952,-0.33455999999999336,-0.04673999999999906,0.1116114285714238,0.4277416240866617,-0.1869599999999963,-0.5210098271772179,0.20706857142856255
35,0.4,0.81,48.32,87.42,35.16,81.21,0.8268571428571363,1.1040000000000063,1.1245257142857055,0.15710285714285588,1.5014400000000088,0.20976000000000106,0.6284114285714236,2.408335136394635,0.8390400000000048,2.3381904439173296,1.1658685714285622
36,0.41,0.83,44.02,84.45,33.05,78.65,-1.2831428571428631,-3.195999999999991,-1.745074285714294,-0.24379714285714393,-4.346559999999988,-0.6072399999999982,-0.975188571428576,-3.7373300267962826,-2.428959999999993,-6.7688919010504724,-1.8092314285714368
37,0.42,0.85,51.36,88.48,35.85,81.31,1.5168571428571411,4.1440000000000055,2.0629257142857123,0.28820285714285676,5.635840000000008,0.7873600000000005,1.1528114285714273,4.418055023883622,3.1494400000000042,8.776685869196896,2.1387685714285687
38,0.43,0.87,46.62,86.42,34.91,80.61,0.5768571428571363,-0.5959999999999965,0.7845257142857054,0.10960285714285589,-0.8105599999999954,-0.11323999999999923,0.43841142857142357,1.6801757568696445,-0.45295999999999736,-1.2622839715350658,0.8133685714285621
39,0.44,0.89,48.96,87.54,35.04,80.95,0.7068571428571389,1.7440000000000069,0.9613257142857089,0.13430285714285628,2.3718400000000095,0.33136000000000143,0.5372114285714256,2.058818634222647,1.3254400000000053,3.693663165028819,0.9966685714285657
40,0.45,0.91,46.99,86.9,34.0,80.67,-0.3331428571428603,-0.22599999999999199,-0.45307428571429004,-0.06329714285714344,-0.30735999999998914,-0.042939999999998424,-0.2531885714285738,-0.9703243846013105,-0.17175999999999392,-0.4786513046424772,-0.46973142857143296
41,0.46,0.93,50.19,88.32,35.97,81.74,1.6368571428571386,2.9740000000000038,2.2261257142857085,0.31100285714285647,4.044640000000006,0.5650600000000008,1.2440114285714254,4.767571526055611,2.2602400000000027,6.298712300914952,2.307968571428565
42,0.48,0.97,44.23,81.56,33.17,74.86,-1.1631428571428586,-2.985999999999997,-1.5818742857142878,-0.22099714285714311,-4.060959999999996,-0.5673399999999997,-0.8839885714285726,-3.3878135246242738,-2.2693599999999976,-6.324127414435779,-1.6400314285714306
43,0.49,0.99,52.37,88.85,36.21,81.4,1.8768571428571406,5.1540000000000035,2.552525714285711,0.3566028571428568,7.009440000000005,0.9792600000000009,1.4264114285714269,5.466604530399607,3.9170400000000027,10.91579125720096,2.646368571428568
