,Depth [m],Age [ka BP],Revised Age (Starr),SS avg [µm],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
0,0.005,4.16,4.16,26.22,0.29999999999999716,0.40799999999999614,0.05699999999999944,0.22799999999999784,1.1574074074073963,0.422999999999996
1,0.025,5.13,5.128510638297873,25.62,-0.3000000000000007,-0.408000000000001,-0.05700000000000016,-0.22800000000000054,-1.15740740740741,-0.423000000000001
2,0.065,7.08,7.065531914893617,25.38,-0.5400000000000027,-0.7344000000000037,-0.10260000000000047,-0.41040000000000204,-2.0833333333333437,-0.7614000000000037
3,0.085,8.06,8.03404255319149,24.96,-0.9600000000000009,-1.3056000000000012,-0.18240000000000012,-0.7296000000000007,-3.703703703703707,-1.353600000000001
4,0.125,10.01,9.971063829787234,25.91,-0.010000000000001563,-0.013600000000002128,-0.0019000000000002955,-0.007600000000001188,-0.03858024691358628,-0.014100000000002203
5,0.185,12.93,12.87659574468085,24.97,-0.9500000000000028,-1.292000000000004,-0.18050000000000033,-0.7220000000000022,-3.665123456790134,-1.339500000000004
6,0.19,14.39,13.118723404255318,24.34,-1.5800000000000018,-2.1488000000000027,-0.30020000000000024,-1.2008000000000014,-6.095679012345686,-2.2278000000000024
7,0.195,14.64,13.360851063829786,24.06,-1.860000000000003,-2.5296000000000043,-0.3534000000000006,-1.4136000000000022,-7.175925925925937,-2.6226000000000043
8,0.2,14.88,13.602978723404256,23.9,-2.020000000000003,-2.7472000000000043,-0.3838000000000008,-1.5352000000000023,-7.793209876543221,-2.8482000000000043
9,0.20500000000000002,15.13,13.845106382978724,23.66,-2.2600000000000016,-3.0736000000000026,-0.4293999999999998,-1.7176000000000011,-8.719135802469141,-3.186600000000002
10,0.21,15.37,14.08723404255319,23.54,-2.3800000000000026,-3.2368000000000037,-0.4522000000000004,-1.808800000000002,-9.182098765432107,-3.3558000000000034
11,0.215,15.61,14.329361702127658,23.6,-2.3200000000000003,-3.1552000000000007,-0.44079999999999986,-1.7632000000000003,-8.950617283950619,-3.2712000000000003
12,0.22,15.86,14.571489361702127,23.5,-2.4200000000000017,-3.2912000000000026,-0.4598,-1.8392000000000013,-9.336419753086425,-3.412200000000002
13,0.225,16.1,14.813617021276595,23.26,-2.66,-3.6176000000000004,-0.5053999999999998,-2.0216000000000003,-10.262345679012347,-3.7506
14,0.23,16.34,15.055744680851063,23.27,-2.650000000000002,-3.604000000000003,-0.5035000000000003,-2.0140000000000016,-10.223765432098773,-3.7365000000000026
15,0.23500000000000001,16.59,15.297872340425531,23.01,-2.91,-3.9576000000000007,-0.5528999999999997,-2.2116000000000002,-11.226851851851851,-4.1030999999999995
16,0.24,16.83,15.539999999999997,22.82,-3.1000000000000014,-4.216000000000002,-0.5890000000000004,-2.356000000000001,-11.959876543209882,-4.371000000000001
17,0.245,17.07,15.784186046511627,22.69,-3.2300000000000004,-4.392800000000001,-0.6136999999999997,-2.4548000000000005,-12.461419753086423,-4.5543000000000005
18,0.25,17.32,16.028372093023254,22.9,-3.020000000000003,-4.107200000000004,-0.5738000000000012,-2.2952000000000026,-11.651234567901248,-4.258200000000004
19,0.255,17.56,16.27255813953488,22.91,-3.0100000000000016,-4.093600000000002,-0.5719000000000003,-2.287600000000001,-11.61265432098766,-4.244100000000002
20,0.26,17.81,16.51674418604651,23.11,-2.8100000000000023,-3.821600000000003,-0.5339000000000005,-2.135600000000002,-10.841049382716058,-3.962100000000003
21,0.265,18.05,16.760930232558138,23.11,-2.8100000000000023,-3.821600000000003,-0.5339000000000005,-2.135600000000002,-10.841049382716058,-3.962100000000003
22,0.27,18.29,17.005116279069767,23.27,-2.650000000000002,-3.604000000000003,-0.5035000000000003,-2.0140000000000016,-10.223765432098773,-3.7365000000000026
23,0.275,18.54,17.249302325581397,23.19,-2.7300000000000004,-3.712800000000001,-0.5186999999999995,-2.0748,-10.532407407407408,-3.8493000000000004
24,0.28,18.78,17.493488372093022,23.18,-2.740000000000002,-3.726400000000003,-0.5206000000000004,-2.0824000000000016,-10.570987654320996,-3.8634000000000026
25,0.28500000000000003,19.02,17.73767441860465,23.1,-2.8200000000000003,-3.835200000000001,-0.5357999999999996,-2.1432,-10.879629629629632,-3.9762
26,0.29,19.27,17.981860465116277,23.07,-2.8500000000000014,-3.876000000000002,-0.5415000000000001,-2.1660000000000013,-10.995370370370376,-4.018500000000002
27,0.295,19.51,18.226046511627906,22.9,-3.020000000000003,-4.107200000000004,-0.5738000000000012,-2.2952000000000026,-11.651234567901248,-4.258200000000004
28,0.3,19.76,18.470232558139532,22.66,-3.2600000000000016,-4.433600000000003,-0.6193999999999997,-2.477600000000001,-12.577160493827167,-4.596600000000002
29,0.305,20.0,18.714418604651158,22.7,-3.2200000000000024,-4.3792000000000035,-0.6118000000000006,-2.447200000000002,-12.422839506172847,-4.540200000000003
30,0.31,20.24,18.958604651162787,22.83,-3.0900000000000034,-4.202400000000005,-0.5871000000000004,-2.3484000000000025,-11.921296296296308,-4.356900000000005
31,0.315,20.49,19.202790697674416,22.95,-2.9700000000000024,-4.039200000000004,-0.5643000000000002,-2.257200000000002,-11.458333333333343,-4.187700000000003
32,0.32,20.73,19.446976744186045,23.12,-2.8000000000000007,-3.808000000000001,-0.5320000000000005,-2.1280000000000006,-10.802469135802472,-3.948000000000001
33,0.325,20.97,19.691162790697675,23.29,-2.6300000000000026,-3.5768000000000035,-0.49970000000000026,-1.998800000000002,-10.146604938271613,-3.7083000000000035
34,0.33,21.22,19.9353488372093,23.4,-2.520000000000003,-3.4272000000000045,-0.47880000000000056,-1.9152000000000025,-9.722222222222234,-3.5532000000000044
35,0.335,21.46,20.17953488372093,23.42,-2.5,-3.4000000000000004,-0.47499999999999964,-1.9,-9.64506172839506,-3.525
36,0.34,21.71,20.423720930232555,23.34,-2.580000000000002,-3.5088000000000026,-0.4902000000000002,-1.9608000000000014,-9.953703703703711,-3.6378000000000026
37,0.34500000000000003,21.95,20.667906976744185,23.45,-2.4700000000000024,-3.3592000000000035,-0.4693000000000005,-1.8772000000000018,-9.52932098765433,-3.482700000000003
38,0.35,22.19,20.91209302325581,23.53,-2.3900000000000006,-3.250400000000001,-0.45409999999999995,-1.8164000000000005,-9.22067901234568,-3.369900000000001
39,0.355,22.44,21.15627906976744,23.61,-2.3100000000000023,-3.1416000000000035,-0.4389000000000003,-1.7556000000000018,-8.912037037037045,-3.257100000000003
40,0.36,22.68,21.400465116279065,23.72,-2.200000000000003,-2.992000000000004,-0.4180000000000006,-1.6720000000000022,-8.487654320987664,-3.102000000000004
41,0.365,22.92,21.644651162790694,24.05,-1.870000000000001,-2.5432000000000015,-0.35530000000000017,-1.4212000000000007,-7.214506172839509,-2.636700000000001
42,0.37,23.17,21.888837209302324,24.05,-1.870000000000001,-2.5432000000000015,-0.35530000000000017,-1.4212000000000007,-7.214506172839509,-2.636700000000001
43,0.375,23.41,22.133023255813953,24.08,-1.8400000000000034,-2.5024000000000046,-0.3496000000000006,-1.3984000000000025,-7.098765432098777,-2.5944000000000047
44,0.38,23.66,22.37720930232558,23.87,-2.0500000000000007,-2.788000000000001,-0.38949999999999996,-1.5580000000000005,-7.908950617283953,-2.8905000000000007
45,0.385,23.9,22.621395348837208,23.75,-2.1700000000000017,-2.9512000000000027,-0.4123000000000001,-1.6492000000000013,-8.37191358024692,-3.059700000000002
46,0.39,24.14,22.865581395348837,23.49,-2.4300000000000033,-3.3048000000000046,-0.46170000000000044,-1.8468000000000024,-9.375000000000012,-3.4263000000000043
47,0.395,24.39,23.109767441860463,23.49,-2.4300000000000033,-3.3048000000000046,-0.46170000000000044,-1.8468000000000024,-9.375000000000012,-3.4263000000000043
48,0.4,24.63,23.353953488372092,23.45,-2.4700000000000024,-3.3592000000000035,-0.4693000000000005,-1.8772000000000018,-9.52932098765433,-3.482700000000003
49,0.405,24.87,23.59813953488372,23.43,-2.490000000000002,-3.3864000000000027,-0.4731000000000005,-1.8924000000000016,-9.60648148148149,-3.5109000000000026
50,0.41,25.12,23.842325581395347,23.26,-2.66,-3.6176000000000004,-0.5053999999999998,-2.0216000000000003,-10.262345679012347,-3.7506
51,0.41500000000000004,25.36,24.086511627906976,23.03,-2.8900000000000006,-3.930400000000001,-0.5490999999999997,-2.1964000000000006,-11.149691358024693,-4.0749
52,0.42,25.61,24.3306976744186,22.6,-3.3200000000000003,-4.515200000000001,-0.6307999999999998,-2.5232,-12.80864197530864,-4.6812000000000005
53,0.425,25.85,24.57488372093023,22.34,-3.580000000000002,-4.868800000000003,-0.6802000000000001,-2.7208000000000014,-13.811728395061735,-5.047800000000002
54,0.43,26.09,24.819069767441857,21.96,-3.960000000000001,-5.385600000000002,-0.7523999999999997,-3.0096000000000007,-15.277777777777782,-5.583600000000001
55,0.435,26.34,25.063255813953486,21.8,-4.120000000000001,-5.603200000000002,-0.7827999999999999,-3.1312000000000006,-15.895061728395063,-5.8092000000000015
56,0.44,26.58,25.307441860465115,21.92,-4.0,-5.44,-0.7599999999999998,-3.04,-15.432098765432098,-5.64
57,0.445,26.82,25.55162790697674,22.17,-3.75,-5.1000000000000005,-0.7124999999999995,-2.85,-14.467592592592593,-5.2875
58,0.45,27.07,25.79581395348837,22.27,-3.650000000000002,-4.964000000000003,-0.6935000000000002,-2.774000000000002,-14.081790123456797,-5.146500000000002
59,0.455,27.31,26.04,22.62,-3.3000000000000007,-4.488000000000001,-0.6269999999999998,-2.5080000000000005,-12.731481481481483,-4.6530000000000005
60,0.46,27.56,26.284186046511625,22.64,-3.280000000000001,-4.460800000000002,-0.6232000000000006,-2.492800000000001,-12.654320987654325,-4.624800000000001
61,0.465,27.8,26.528372093023254,22.54,-3.3800000000000026,-4.5968000000000035,-0.6422000000000008,-2.568800000000002,-13.040123456790134,-4.765800000000003
62,0.47,28.04,26.77255813953488,22.49,-3.4300000000000033,-4.664800000000005,-0.6517,-2.6068000000000024,-13.233024691358036,-4.836300000000004
63,0.47500000000000003,28.29,27.01674418604651,22.53,-3.3900000000000006,-4.610400000000001,-0.6440999999999999,-2.5764000000000005,-13.078703703703706,-4.7799000000000005
64,0.48,28.53,27.260930232558135,22.43,-3.490000000000002,-4.746400000000003,-0.6631,-2.6524000000000014,-13.464506172839513,-4.920900000000002
65,0.485,28.77,27.505116279069764,22.55,-3.370000000000001,-4.5832000000000015,-0.6402999999999999,-2.561200000000001,-13.001543209876546,-4.751700000000001
66,0.49,29.02,27.749302325581393,22.67,-3.25,-4.42,-0.6175000000000006,-2.47,-12.53858024691358,-4.5825
67,0.495,29.26,27.99348837209302,22.71,-3.210000000000001,-4.3656000000000015,-0.6098999999999997,-2.439600000000001,-12.384259259259263,-4.526100000000001
68,0.5,29.5,28.237674418604648,22.67,-3.25,-4.42,-0.6175000000000006,-2.47,-12.53858024691358,-4.5825
69,0.505,29.75,28.481860465116277,22.68,-3.240000000000002,-4.406400000000003,-0.6155999999999997,-2.4624000000000015,-12.500000000000005,-4.568400000000002
70,0.51,29.99,28.726046511627903,22.69,-3.2300000000000004,-4.392800000000001,-0.6136999999999997,-2.4548000000000005,-12.461419753086423,-4.5543000000000005
71,0.515,30.24,28.970232558139532,22.55,-3.370000000000001,-4.5832000000000015,-0.6402999999999999,-2.561200000000001,-13.001543209876546,-4.751700000000001
72,0.52,30.48,29.21441860465116,22.56,-3.360000000000003,-4.569600000000005,-0.6383999999999999,-2.553600000000002,-12.962962962962973,-4.737600000000004
73,0.525,30.72,29.458604651162787,22.52,-3.400000000000002,-4.624000000000003,-0.6459999999999999,-2.584000000000002,-13.117283950617292,-4.794000000000003
74,0.53,30.97,29.702790697674416,22.52,-3.400000000000002,-4.624000000000003,-0.6459999999999999,-2.584000000000002,-13.117283950617292,-4.794000000000003
75,0.535,31.21,29.946976744186045,22.49,-3.4300000000000033,-4.664800000000005,-0.6517,-2.6068000000000024,-13.233024691358036,-4.836300000000004
76,0.54,31.45,30.19116279069767,22.59,-3.330000000000002,-4.528800000000003,-0.6326999999999998,-2.5308000000000015,-12.847222222222229,-4.695300000000002
77,0.545,31.7,30.4353488372093,22.72,-3.200000000000003,-4.352000000000004,-0.6080000000000005,-2.432000000000002,-12.34567901234569,-4.512000000000004
78,0.55,31.94,30.67953488372093,22.87,-3.0500000000000007,-4.1480000000000015,-0.5794999999999995,-2.3180000000000005,-11.766975308641978,-4.3005
79,0.555,32.19,30.923720930232555,23.09,-2.830000000000002,-3.848800000000003,-0.5377000000000005,-2.1508000000000016,-10.918209876543216,-3.990300000000002
80,0.56,32.43,31.167906976744185,23.13,-2.7900000000000027,-3.794400000000004,-0.5301,-2.1204000000000023,-10.7638888888889,-3.9339000000000035
