,Age [ka BP],ln(Zr/Rb),SS [um],ACC strength [m/s],ACC strength [%],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
0,0.5,1.6932,16.9067,7.9266,100.286,0.23013043478260542,0.3129773913043434,0.043724782608695056,1.379962670875624,0.17489913043478011,1.379962670875624,0.3244839130434736
1,1.0,1.6932,16.9067,7.9266,100.286,0.23013043478260542,0.3129773913043434,0.043724782608695056,1.379962670875624,0.17489913043478011,1.379962670875624,0.3244839130434736
2,1.5,1.6932,16.9067,7.9266,100.286,0.23013043478260542,0.3129773913043434,0.043724782608695056,1.379962670875624,0.17489913043478011,1.379962670875624,0.3244839130434736
3,2.0,1.6932,16.9067,7.9266,100.286,0.23013043478260542,0.3129773913043434,0.043724782608695056,1.379962670875624,0.17489913043478011,1.379962670875624,0.3244839130434736
4,2.5,1.6932,16.9067,7.9266,100.286,0.23013043478260542,0.3129773913043434,0.043724782608695056,1.379962670875624,0.17489913043478011,1.379962670875624,0.3244839130434736
5,3.0,1.6963,16.9142,7.9394,100.448,0.2376304347826057,0.32317739130434375,0.04514978260869512,1.4249359489270235,0.18059913043478035,1.4249359489270235,0.335058913043474
6,3.5,1.6819,16.8795,7.8805,99.703,0.20293043478260486,0.27598539130434263,0.03855678260869494,1.2168595824758848,0.1542271304347797,1.2168595824758848,0.28613191304347285
7,4.0,1.7124,16.953,8.0051,101.28,0.2764304347826041,0.37594539130434157,0.05252178260869478,1.6575977073795785,0.2100871304347791,1.6575977073795785,0.3897669130434718
8,4.5,1.68,16.8749,7.8726,99.603,0.19833043478260493,0.2697293913043427,0.037682782608694954,1.1892759719376944,0.15073113043477976,1.1892759719376944,0.2796459130434729
9,5.0,1.6721,16.8558,7.8404,99.195,0.17923043478260325,0.24375339130434046,0.0340537826086946,1.074744023833458,0.13621513043477848,1.074744023833458,0.2527149130434706
10,5.5,1.6831,16.8823,7.8853,99.763,0.20573043478260544,0.27979339130434344,0.03908878260869503,1.2336496062817435,0.15635513043478014,1.2336496062817432,0.29007991304347364
11,6.0,1.6787,16.8718,7.8675,99.538,0.19523043478260504,0.26551339130434287,0.03709378260869495,1.170687017009784,0.14837513043477984,1.170687017009784,0.2752749130434731
12,6.5,1.6694,16.8494,7.8296,99.058,0.17283043478260396,0.2350493913043414,0.032837782608694716,1.0363668265629362,0.131351130434779,1.036366826562936,0.24369091304347157
13,7.0,1.6192,16.7284,7.6245,96.464,0.051830434782605295,0.0704893913043432,0.00984778260869501,0.3107979406670597,0.03939113043478003,0.3107979406670597,0.07308091304347346
14,7.5,1.605,16.6943,7.5666,95.732,0.017730434782603055,0.024113391304340155,0.0033687826086945816,0.10631943646002427,0.013475130434778323,0.10631943646002427,0.024999913043470306
15,8.0,1.5629,16.5929,7.3948,93.557,-0.0836695652173951,-0.11379060869565735,-0.015897217391305063,-0.5017192827948629,-0.06358886956522028,-0.5017192827948629,-0.11797408695652709
16,8.5,1.4889,16.4149,7.093,89.74,-0.2616695652173959,-0.3558706086956585,-0.04971721739130519,-1.5690850818813755,-0.1988688695652209,-1.5690850818813755,-0.36895408695652826
17,9.0,1.4658,16.3593,6.9988,88.548,-0.31726956521739424,-0.4314866086956562,-0.060281217391304875,-1.9024869831690612,-0.24112486956521964,-1.9024869831690612,-0.44735008695652584
18,9.5,1.442,16.302,6.9017,87.319,-0.3745695652173957,-0.5094146086956582,-0.07116821739130508,-2.2460828274817493,-0.28467286956522075,-2.2460828274817493,-0.5281430869565279
19,10.0,1.423,16.2561,6.8239,86.335,-0.4204695652173953,-0.5718386086956576,-0.07988921739130517,-2.5213192891563008,-0.31955686956522045,-2.521319289156301,-0.5928620869565273
20,10.5,1.441,16.2995,6.8975,87.266,-0.377069565217397,-0.51281460869566,-0.07164321739130541,-2.2610739201655563,-0.2865728695652217,-2.261073920165556,-0.5316680869565297
21,11.0,1.4012,16.2038,6.7352,85.212,-0.4727695652173942,-0.6429666086956561,-0.08982621739130492,-2.834932948101375,-0.3593048695652196,-2.8349329481013754,-0.6666050869565258
22,11.5,1.3563,16.0955,6.5517,82.892,-0.5810695652173941,-0.790254608695656,-0.11040321739130476,-3.484347083163559,-0.4416128695652195,-3.484347083163559,-0.8193080869565256
23,12.0,1.2955,15.9493,6.3038,79.755,-0.7272695652173962,-0.9890866086956589,-0.1381812173913053,-4.361026183312152,-0.552724869565221,-4.361026183312151,-1.0254500869565286
24,12.5,1.2733,15.8956,6.2129,78.604,-0.7809695652173954,-1.0621186086956578,-0.14838421739130503,-4.683034854160155,-0.5935368695652204,-4.683034854160155,-1.1011670869565273
